method,fault,metric,mean,sd,n,ci95
MOME_A,bias,accuracy,0.4922318973418882,0.036755545001931705,10,0.02278132281399674
MOME_A,bias,aurc,0.3598464373550026,0.078614017824578,10,0.048725473059177384
MOME_A,bias,ece,0.27159252271780054,0.05214709802111724,10,0.032321106210498794
MOME_A,bias,macro_auroc,0.7803972299687901,0.047159763787462394,10,0.029229924426846365
MOME_A,bias,macro_f1,0.5021791602155433,0.03173521021074522,10,0.01966968707287666
MOME_A,bias,nll,2.5165018468749896,0.917205867958116,10,0.5684900866997825
MOME_A,burst,accuracy,0.49919798350137484,0.022791513468716395,10,0.014126326401175521
MOME_A,burst,aurc,0.3372026516477239,0.02762519849798969,10,0.017122275421310333
MOME_A,burst,ece,0.25508167580569097,0.02594252187914648,10,0.016079341647823445
MOME_A,burst,macro_auroc,0.782847880511714,0.01701109356673602,10,0.010543585027580175
MOME_A,burst,macro_f1,0.4932816545163323,0.02283782480352836,10,0.014155030463875258
MOME_A,burst,nll,2.377141278144271,0.2668518096136254,10,0.16539646515886797
MOME_A,clipping,accuracy,0.5333868010999083,0.018208879146779454,10,0.011285980221543038
MOME_A,clipping,aurc,0.2572311884867688,0.021954445845721354,10,0.013607506513303018
MOME_A,clipping,ece,0.18536774771310227,0.026450256894052632,10,0.01639403907042835
MOME_A,clipping,macro_auroc,0.8318951743459093,0.008178038099395294,10,0.005068800528401827
MOME_A,clipping,macro_f1,0.5253481780498392,0.023153255959540514,10,0.01435053671987901
MOME_A,clipping,nll,1.6583055070303474,0.17717689831335984,10,0.10981537929711543
MOME_A,correlated,accuracy,0.4823556370302475,0.012209263186026395,10,0.007567379723176345
MOME_A,correlated,aurc,0.36456595083391424,0.01814321841886538,10,0.011245283280748555
MOME_A,correlated,ece,0.2889475198153587,0.017925300016040657,10,0.011110216055338086
MOME_A,correlated,macro_auroc,0.7680526845635738,0.01070442130331823,10,0.006634669061092689
MOME_A,correlated,macro_f1,0.4758397615014232,0.014238638841397682,10,0.008825199785794102
MOME_A,correlated,nll,2.684546641004885,0.18869564714064752,10,0.11695477378668144
MOME_A,delayed_quality,accuracy,0.49470669110907417,0.012813359017388075,10,0.00794180219859106
MOME_A,delayed_quality,aurc,0.34150637846719323,0.025817770449374125,10,0.016002019910572582
MOME_A,delayed_quality,ece,0.26428265942791584,0.02088434062774308,10,0.012944248427633927
MOME_A,delayed_quality,macro_auroc,0.7796087116124123,0.015021754278096874,10,0.009310579762152245
MOME_A,delayed_quality,macro_f1,0.4887095111990621,0.014122869858751209,10,0.008753445426951683
MOME_A,delayed_quality,nll,2.429711329359532,0.26032703662085216,10,0.16135236895981545
MOME_A,misleading_quality,accuracy,0.49521081576535286,0.013299094540689197,10,0.008242864195031785
MOME_A,misleading_quality,aurc,0.34086216561010624,0.02664558415360274,10,0.016515104160170605
MOME_A,misleading_quality,ece,0.26329564396206606,0.020381965493853037,10,0.012632873093700706
MOME_A,misleading_quality,macro_auroc,0.7800579031966427,0.01527445049133114,10,0.00946720249777654
MOME_A,misleading_quality,macro_f1,0.48799938198096005,0.014323479884071105,10,0.008877784808840767
MOME_A,misleading_quality,nll,2.4235989157935176,0.26520974527958574,10,0.16437870314028974
MOME_A,silent_gaussian,accuracy,0.4948900091659028,0.013034381688502926,10,0.008078793469421478
MOME_A,silent_gaussian,aurc,0.3415628268464426,0.025901148813828583,10,0.0160536983562667
MOME_A,silent_gaussian,ece,0.2642928971119368,0.02087963465938008,10,0.012941331638223665
MOME_A,silent_gaussian,macro_auroc,0.7796010324630258,0.015045079040656585,10,0.009325036599764223
MOME_A,silent_gaussian,macro_f1,0.48925397112395136,0.014339125924517441,10,0.00888748232517878
MOME_A,silent_gaussian,nll,2.430799698481173,0.2595599084359071,10,0.1608768979847549
UF,bias,accuracy,0.4925068744271311,0.030305106788267026,10,0.018783299788368568
UF,bias,aurc,0.33499658846027086,0.0511597637809124,10,0.03170915010835865
UF,bias,ece,0.27983906866280883,0.043722668959869385,10,0.027099590981767546
UF,bias,macro_auroc,0.787711113235593,0.02111997311456348,10,0.01309029495605401
UF,bias,macro_f1,0.4966344066431881,0.03244975619659671,10,0.020112567263288007
UF,bias,nll,2.4460588110271333,0.4164892167530713,10,0.2581426909844956
UF,burst,accuracy,0.5014665444546288,0.028653364206180608,10,0.017759539129503146
UF,burst,aurc,0.3071842792133136,0.026646451125002864,10,0.016515641514611566
UF,burst,ece,0.2635349708546967,0.02489972177001191,10,0.015433007443952516
UF,burst,macro_auroc,0.8000021041385204,0.010303452811701256,10,0.006386146215212223
UF,burst,macro_f1,0.4849830763659183,0.024829284040607726,10,0.01538934968695946
UF,burst,nll,2.3170181451397327,0.1339377279776219,10,0.08301546386731924
UF,clipping,accuracy,0.5423464711274061,0.02148992134628052,10,0.013319591245655219
UF,clipping,aurc,0.23404211455423454,0.024124246709265516,10,0.014952363021671772
UF,clipping,ece,0.19584869271046954,0.024039253413540407,10,0.014899683631205994
UF,clipping,macro_auroc,0.8456598756828957,0.00873851413785701,10,0.00541618717607731
UF,clipping,macro_f1,0.5188308571724345,0.01754694577688616,10,0.010875709668348865
UF,clipping,nll,1.6184380609313629,0.07455795561711309,10,0.046211499657421155
UF,correlated,accuracy,0.4863428047662694,0.014907395376202875,10,0.009239699380414893
UF,correlated,aurc,0.3566069513069168,0.014125145136154543,10,0.00875485565849672
UF,correlated,ece,0.2997737881854709,0.022591269068136598,10,0.01400221363584817
UF,correlated,macro_auroc,0.774307655437724,0.007053937716348795,10,0.0043720758926992734
UF,correlated,macro_f1,0.4744672743127323,0.013205578179007502,10,0.00818490215355616
UF,correlated,nll,2.8568016797097697,0.2326256198004964,10,0.1441828529328748
UF,delayed_quality,accuracy,0.5079972502291475,0.018617117877290215,10,0.011539009208174937
UF,delayed_quality,aurc,0.3082470192815909,0.016252790671520412,10,0.010073584023764638
UF,delayed_quality,ece,0.2620749715343459,0.024048940898307114,10,0.014905687996471547
UF,delayed_quality,macro_auroc,0.7989210169443959,0.00746530868701615,10,0.004627046261893572
UF,delayed_quality,macro_f1,0.4929706746596413,0.01561461689940933,10,0.009678039821845594
UF,delayed_quality,nll,2.3734660725217194,0.1725723863936498,10,0.10696147324189852
UF,misleading_quality,accuracy,0.5079972502291475,0.018617117877290215,10,0.011539009208174937
UF,misleading_quality,aurc,0.3082470192815909,0.016252790671520412,10,0.010073584023764638
UF,misleading_quality,ece,0.2620749715343459,0.024048940898307114,10,0.014905687996471547
UF,misleading_quality,macro_auroc,0.7989210169443959,0.00746530868701615,10,0.004627046261893572
UF,misleading_quality,macro_f1,0.4929706746596413,0.01561461689940933,10,0.009678039821845594
UF,misleading_quality,nll,2.3734660725217194,0.1725723863936498,10,0.10696147324189852
UF,silent_gaussian,accuracy,0.5079972502291475,0.018617117877290215,10,0.011539009208174937
UF,silent_gaussian,aurc,0.3082470192815909,0.016252790671520412,10,0.010073584023764638
UF,silent_gaussian,ece,0.2620749715343459,0.024048940898307114,10,0.014905687996471547
UF,silent_gaussian,macro_auroc,0.7989210169443959,0.00746530868701615,10,0.004627046261893572
UF,silent_gaussian,macro_f1,0.4929706746596413,0.01561461689940933,10,0.009678039821845594
UF,silent_gaussian,nll,2.3734660725217194,0.1725723863936498,10,0.10696147324189852
