method,pool,subset,metric,value
PDRF_INT,majority_vote,affected,ece15,0.3809254013180071
PDRF_INT,majority_vote,unaffected,accuracy,0.590227010388611
PDRF_INT,majority_vote,unaffected,macro_f1,0.5608894148600584
PDRF_INT,majority_vote,unaffected,macro_auroc,0.7632961147736168
PDRF_INT,majority_vote,unaffected,macro_auprc,0.5410104021543406
PDRF_INT,majority_vote,unaffected,nll,9.326383804677905
PDRF_INT,majority_vote,unaffected,brier,0.6822282074270185
PDRF_INT,majority_vote,unaffected,ece15,0.2985763755248081
PDRF_INT,validation_selected,all,accuracy,0.5508707607699358
PDRF_INT,validation_selected,all,macro_f1,0.5303503516423663
PDRF_INT,validation_selected,all,macro_auroc,0.8385438746470603
PDRF_INT,validation_selected,all,macro_auprc,0.5839577416868739
PDRF_INT,validation_selected,all,nll,2.2836047081711666
PDRF_INT,validation_selected,all,brier,0.7155400878808563
PDRF_INT,validation_selected,all,ece15,0.2891997909198979
PDRF_INT,validation_selected,affected,accuracy,0.47875354107648727
PDRF_INT,validation_selected,affected,macro_f1,0.46298896295960607
PDRF_INT,validation_selected,affected,macro_auroc,0.7994656554645346
PDRF_INT,validation_selected,affected,macro_auprc,0.5081911908163523
PDRF_INT,validation_selected,affected,nll,2.8456497161889773
PDRF_INT,validation_selected,affected,brier,0.8366181554447554
PDRF_INT,validation_selected,affected,ece15,0.36230593007954925
PDRF_INT,validation_selected,unaffected,accuracy,0.5998460946517892
PDRF_INT,validation_selected,unaffected,macro_f1,0.5694769495399703
PDRF_INT,validation_selected,unaffected,macro_auroc,0.8670382708212676
PDRF_INT,validation_selected,unaffected,macro_auprc,0.649054912652214
PDRF_INT,validation_selected,unaffected,nll,1.9019158127685358
PDRF_INT,validation_selected,unaffected,brier,0.6333150823978698
PDRF_INT,validation_selected,unaffected,ece15,0.23955283685801992
PDRF_REC,probability_mean,all,accuracy,0.5554537121906508
PDRF_REC,probability_mean,all,macro_f1,0.5385815317276755
PDRF_REC,probability_mean,all,macro_auroc,0.8455741997471319
PDRF_REC,probability_mean,all,macro_auprc,0.6096140830397435
PDRF_REC,probability_mean,all,nll,1.8074036795909874
PDRF_REC,probability_mean,all,brier,0.6373823178876037
PDRF_REC,probability_mean,all,ece15,0.21989596265647302
PDRF_REC,probability_mean,affected,accuracy,0.4861189801699717
PDRF_REC,probability_mean,affected,macro_f1,0.4803686159141742
PDRF_REC,probability_mean,affected,macro_auroc,0.8077946303091847
PDRF_REC,probability_mean,affected,macro_auprc,0.5396963764019319
PDRF_REC,probability_mean,affected,nll,2.228399736514199
PDRF_REC,probability_mean,affected,brier,0.7469362119475833
PDRF_REC,probability_mean,affected,ece15,0.2808974955135972
PDRF_REC,probability_mean,unaffected,accuracy,0.6025394382454791
PDRF_REC,probability_mean,unaffected,macro_f1,0.5738824500429146
PDRF_REC,probability_mean,unaffected,macro_auroc,0.8726659118899761
PDRF_REC,probability_mean,unaffected,macro_auprc,0.6625929497207103
PDRF_REC,probability_mean,unaffected,nll,1.5215021634426733
PDRF_REC,probability_mean,unaffected,brier,0.5629834633220538
PDRF_REC,probability_mean,unaffected,ece15,0.1786711296699468
PDRF_REC,log_probability_mean,all,accuracy,0.5572868927589367
PDRF_REC,log_probability_mean,all,macro_f1,0.5422779869346196
PDRF_REC,log_probability_mean,all,macro_auroc,0.8441237550627857
PDRF_REC,log_probability_mean,all,macro_auprc,0.6012294336989276
PDRF_REC,log_probability_mean,all,nll,2.081993132094708
PDRF_REC,log_probability_mean,all,brier,0.674936706207511
PDRF_REC,log_probability_mean,all,ece15,0.2680590003797158
PDRF_REC,log_probability_mean,affected,accuracy,0.488385269121813
PDRF_REC,log_probability_mean,affected,macro_f1,0.4850816110130373
PDRF_REC,log_probability_mean,affected,macro_auroc,0.8022005137271546
