score_clean,score_degraded,weight_clean,weight_degraded
-1.0202746,2.9999955,0.34342614,0.16068627
-1.0401967,2.9998994,0.25484204,0.11076246
-1.0194709,2.9984405,0.25397313,0.1108576
-0.978122,2.9969666,0.34217602,0.16146278
-0.9658531,2.994326,0.25002047,0.1102149
-0.9990932,2.9998908,0.32878572,0.15271962
-1.0382655,2.9994025,0.25504285,0.1109265
-0.9929897,2.996277,0.33998242,0.15966952
-1.0048718,2.9993157,0.34511316,0.16224243
-1.0234443,2.974842,0.25503293,0.111895986
-1.023549,2.998663,0.2562971,0.111961775
-0.9868879,2.9983153,0.25286162,0.111084715
-0.97825754,3.0,0.25256574,0.11110146
-1.065328,2.9945133,0.25637436,0.11106985
-1.0739533,2.996934,0.34286824,0.15865628
-1.1780268,2.8084912,0.34932518,0.16539302
-1.2405155,2.9983804,0.35743645,0.16161886
-1.1157348,2.9990234,0.34936184,0.16103664
-1.0304005,2.9979525,0.49332428,0.26234946
-1.1798997,2.99525,0.2616921,0.11095928
-1.2439799,2.9998136,0.26531327,0.11110719
-1.2403845,2.9983215,0.35690504,0.1613119
-1.2682923,2.9945369,0.3540275,0.15881258
-1.2542778,2.9999914,0.35980707,0.16249652
-1.2535493,2.999921,0.26620597,0.11132027
-1.0977341,2.9932404,0.2591951,0.11175884
-1.0737164,2.9999812,0.34278232,0.15851164
-1.1041493,2.9989083,0.25853688,0.11111999
-1.0435376,2.9991083,0.3451838,0.16098206
-1.1173232,2.9992707,0.25933602,0.11119714
-1.0998694,2.9995205,0.3625218,0.1694848
-1.1120763,2.9999833,0.28047144,0.12237392
-1.3224316,2.9993465,0.27391106,0.11351656
-1.7342166,2.9651947,0.28035587,0.10740273
-1.131196,3.0,0.2583246,0.11031831
-1.7475979,2.9999304,0.5384007,0.26250753
-1.1246728,2.9999988,0.25637242,0.1094787
-1.2931011,2.9993415,0.25773942,0.10613319
-1.2248036,2.9999852,0.35377288,0.1599375
-1.8707469,2.9999971,0.38552254,0.15658519
-1.1277181,2.9999995,0.3627786,0.16864601
-1.3320415,2.9983153,0.36177298,0.16107295
-1.2868441,2.902444,0.2762644,0.11811638
-1.042822,2.9999952,0.34857887,0.1630106
-1.3756089,2.9999175,0.3764622,0.1681951
-1.0688971,2.9999633,0.2579096,0.11164204
-1.0151387,2.9995308,0.34176314,0.15988092
-1.2553415,2.9999976,0.2647945,0.110560305
-1.3945578,2.9997606,0.28394878,0.11675371
-1.8569815,2.952495,0.28504524,0.106982544
-1.8914462,2.9995532,0.5478278,0.26291895
-1.7465348,2.861476,0.36510682,0.1537783
-1.0460724,2.9999518,0.2513677,0.10882137
-1.7728754,2.9999065,0.2810822,0.105997294
-1.2650054,2.736853,0.2730766,0.1213686
-1.2722467,2.9999976,0.2601993,0.1078403
-1.7869642,2.9999719,0.38269994,0.15778022
-0.9141564,2.9999604,0.2560753,0.11455884
-1.8664259,2.994079,0.2841484,0.105353944
-1.2357914,2.9999878,0.34825072,0.15634452
-1.7003471,2.9993773,0.27841872,0.106476344
-1.049751,2.9747846,0.25583667,0.11166405
-0.97880083,2.9952216,0.2605067,0.11538866
-1.6343443,2.9985776,0.2997093,0.11847902
-1.628225,2.9999952,0.29457608,0.11605644
-0.9686276,2.9999404,0.32991624,0.15437308
-1.241589,2.9644334,0.57330537,0.31948146
-1.3520484,2.991931,0.48870933,0.24394615
-1.4004201,2.9911046,0.39069146,0.17620294
-1.8764355,2.9996264,0.28613022,0.105905056
-1.585128,2.8101182,0.3950096,0.17870969
-1.4254706,2.9858427,0.36833742,0.16216807
-1.354931,2.9865444,0.5246935,0.27160105
-1.4061286,2.9429073,0.28274798,0.11731245
-1.9081275,2.9999948,0.38428396,0.15466982
-1.5078557,2.9999313,0.29246113,0.1181145
-1.3544773,2.9999888,0.2658729,0.10868149
-1.3932478,2.9998798,0.38809264,0.17456421
-1.9298211,2.9622211,0.38440457,0.15526298
-1.510428,2.9983132,0.29441515,0.119074754
-0.9389994,2.9729285,0.26352656,0.11860565
-1.8861017,2.9671686,0.5703829,0.2829442
-1.3487742,2.9998832,0.25548795,0.103705116
-1.2420101,2.8568916,0.26142636,0.112716004
-1.2162728,2.9992905,0.4720519,0.23761502
-1.3304152,2.9963305,0.3680612,0.16489759
-1.4423198,2.9996734,0.26275006,0.10506029
-1.0134181,2.8071551,0.25854647,0.11829456
-0.9929897,2.9456735,0.2576829,0.11479082
-0.82494396,2.9999804,0.25404733,0.11574329
-0.95348513,2.9983659,0.35704595,0.17133838
-1.2680416,2.9716132,0.2578197,0.10743192
-1.2631718,2.9915721,0.27234122,0.11441033
-1.5056022,2.9988663,0.37384656,0.16221115
-1.107708,2.9997523,0.27176693,0.117892414
-0.94366026,2.9996471,0.3423574,0.16265112
-1.4524283,2.9943573,0.27689648,0.11188743
-1.306067,2.6542165,0.27997094,0.12623386
-1.3257756,2.9998689,0.26356113,0.10822977
-1.554126,2.9842682,0.2777825,0.11006409
-1.5411091,2.932371,0.39847755,0.17796695
-1.1656468,2.999985,0.35876268,0.16490906
-0.93830407,2.856889,0.36759004,0.18371652
-1.2462668,2.9994574,0.2830116,0.12015079
-1.0800511,2.9999359,0.27227834,0.11887881
-1.3011701,2.9996803,0.61014676,0.34812674
-1.2284652,2.9999838,0.2798891,0.1189801
-1.6253741,2.837326,0.35057002,0.15030518
-1.476558,2.9663234,0.33691072,0.14334118
-1.7414536,2.9999933,0.38205606,0.15893252
-1.5345726,2.9999163,0.37692344,0.16297603
-1.1753566,2.9999967,0.33556154,0.1509749
-1.2034206,2.9849803,0.28758287,0.12409034
-1.4707887,2.8546362,0.27163252,0.1122749
-1.7142788,2.5164123,0.29929557,0.1291689
-1.1667222,2.999812,0.26089916,0.11076666
-1.3598251,2.99823,0.3682647,0.16394241
-1.0581712,2.9955704,0.37681165,0.1799718
-1.1705956,2.9990892,0.26382816,0.112187706
-1.2765987,2.9628458,0.27092588,0.114073485
-1.1505451,2.9999452,0.2640055,0.11275786
-1.8144994,2.9985456,0.37274456,0.1513924
-1.4275075,2.9999814,0.5067125,0.2535021
-0.9866464,2.999027,0.26491177,0.1174283
-1.2395321,2.995236,0.34161335,0.15254156
-1.8007884,2.9820876,0.3026163,0.11602847
-1.0552317,2.9868715,0.36334598,0.17201738
-1.8354118,2.9976673,0.30540735,0.116094165
-1.3309399,2.9777565,0.35756093,0.15934092
-1.2370579,2.997057,0.27526286,0.11643709
-1.5921996,2.9990532,0.29257613,0.11601523
-1.7872128,2.9910817,0.2978373,0.11383114
-1.1411936,2.9999902,0.25667086,0.10922905
-1.7593528,1.570737,0.30456638,0.16000794
-1.106035,2.9381113,0.2538576,0.110152975
-0.9027259,2.9998178,0.25617653,0.11490667
-1.8038256,2.9940445,0.41226938,0.17450075
-1.8683519,2.9520705,0.3139557,0.12059624
-1.5736177,2.9945567,0.38630748,0.16729732
-1.8232126,2.9885337,0.3775857,0.15410711
-1.6230199,2.9987705,0.29932183,0.11857681
-0.92681533,2.999994,0.33188862,0.15691577
-1.5558653,2.9999764,0.40003318,0.1759129
-1.4236209,2.9984462,0.28550294,0.11682529
-1.9346898,2.8644102,0.46270698,0.20599717
-1.5951922,2.999993,0.37947586,0.16238753
-1.7012796,2.9977393,0.31523237,0.12449619
-1.3909831,2.9830534,0.2873489,0.11901365
-1.8629649,2.904663,0.3263131,0.12821718
-1.8559527,2.999191,0.3248119,0.12504147
-1.8125471,2.970993,0.5658712,0.28275028
