seed,method,prevalence,scale,modality,subset,macro_auroc
101,PDRF,0.7,3.0,1,unaffected,0.8405317179112958
101,PDRF,0.7,3.0,2,all,0.7965399415981024
101,PDRF,0.7,3.0,2,affected,0.7788807036505233
101,PDRF,0.7,3.0,2,unaffected,0.8511164690506812
101,PDRF,0.7,3.0,3,all,0.7944856747626478
101,PDRF,0.7,3.0,3,affected,0.7711601053449627
101,PDRF,0.7,3.0,3,unaffected,0.8538024926690463
101,PDRF,0.7,3.0,4,all,0.7603668384230952
101,PDRF,0.7,3.0,4,affected,0.7331219280290032
101,PDRF,0.7,3.0,4,unaffected,0.8436670883316285
101,PDRF,0.7,5.0,1,all,0.7482362201292689
101,PDRF,0.7,5.0,1,affected,0.717584227417989
101,PDRF,0.7,5.0,1,unaffected,0.8405317179112958
101,PDRF,0.7,5.0,2,all,0.7676552525067345
101,PDRF,0.7,5.0,2,affected,0.7435549387713349
101,PDRF,0.7,5.0,2,unaffected,0.8511164690506812
101,PDRF,0.7,5.0,3,all,0.7632417747005431
101,PDRF,0.7,5.0,3,affected,0.7307342989408153
101,PDRF,0.7,5.0,3,unaffected,0.8538024926690463
101,PDRF,0.7,5.0,4,all,0.7178887346442139
101,PDRF,0.7,5.0,4,affected,0.6811570496555149
101,PDRF,0.7,5.0,4,unaffected,0.8436670883316285
