grouping,groups,seed,fault,macro_auroc
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",103,silent_gaussian,0.8589692823750571
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",104,natural,0.8993776933091558
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",104,silent_gaussian,0.8679365810333025
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",105,natural,0.8932783803750178
random_1,"[[12, 8, 9, 10], [2, 4, 15, 3], [5, 6, 11, 1], [13, 0, 7, 14]]",105,silent_gaussian,0.8709248851280647
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",101,natural,0.872980694937428
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",101,silent_gaussian,0.833445799304701
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",102,natural,0.8753186808676925
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",102,silent_gaussian,0.8391508352879319
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",103,natural,0.879456807111763
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",103,silent_gaussian,0.8295469911753952
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",104,natural,0.8838005364216045
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",104,silent_gaussian,0.8447396514177186
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",105,natural,0.8771023001349697
random_2,"[[1, 5, 15, 10], [2, 9, 3, 8], [13, 12, 7, 4], [0, 11, 6, 14]]",105,silent_gaussian,0.8418628847525197
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",101,natural,0.8928673540695584
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",101,silent_gaussian,0.8662870676913211
random_3,"[[10, 5, 7, 1], [8, 9, 13, 15], [0, 6, 12, 4], [3, 2, 14, 11]]",102,natural,0.8877504541150683
