building,seed,method,true,predicted,count
office,104,PDRF-NOQ,1,0,10
office,104,PDRF-NOQ,1,1,336
office,104,RC-PDRF-NOQ,0,0,17367
office,104,RC-PDRF-NOQ,0,1,1402
office,104,RC-PDRF-NOQ,1,0,37
office,104,RC-PDRF-NOQ,1,1,309
office,104,HGB-current,0,0,18195
office,104,HGB-current,0,1,574
office,104,HGB-current,1,0,0
office,104,HGB-current,1,1,346
office,104,HGB-lag,0,0,18169
office,104,HGB-lag,0,1,600
office,104,HGB-lag,1,0,0
office,104,HGB-lag,1,1,346
office,105,EF-PD,0,0,18574
office,105,EF-PD,0,1,195
office,105,EF-PD,1,0,1
office,105,EF-PD,1,1,345
office,105,UF-PD,0,0,18336
office,105,UF-PD,0,1,433
office,105,UF-PD,1,0,72
office,105,UF-PD,1,1,274
office,105,CAGF,0,0,18235
office,105,CAGF,0,1,534
office,105,CAGF,1,0,14
office,105,CAGF,1,1,332
office,105,ENT-PD,0,0,18545
office,105,ENT-PD,0,1,224
office,105,ENT-PD,1,0,100
office,105,ENT-PD,1,1,246
office,105,PDRF-NOQ,0,0,17248
office,105,PDRF-NOQ,0,1,1521
office,105,PDRF-NOQ,1,0,10
office,105,PDRF-NOQ,1,1,336
office,105,RC-PDRF-NOQ,0,0,17234
office,105,RC-PDRF-NOQ,0,1,1535
office,105,RC-PDRF-NOQ,1,0,30
office,105,RC-PDRF-NOQ,1,1,316
office,105,HGB-current,0,0,18165
office,105,HGB-current,0,1,604
office,105,HGB-current,1,0,0
office,105,HGB-current,1,1,346
office,105,HGB-lag,0,0,18149
office,105,HGB-lag,0,1,620
office,105,HGB-lag,1,0,0
office,105,HGB-lag,1,1,346
