dataset,task,seed,method,environment,fault_type,group,scale,prevalence,subset,metric,value
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,brier,0.612912063913543
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,ece15,0.18318291169750256
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,accuracy,0.537121906507791
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,macro_f1,0.5057132173386243
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,macro_auroc,0.8305086138189542
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,macro_auprc,0.5676248811574158
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,nll,1.7354426937998086
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,brier,0.6764506983023233
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,ece15,0.22468370110766261
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,accuracy,0.4910662824207493
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,macro_f1,0.4535634455174478
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,macro_auroc,0.8082500353981712
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,macro_auprc,0.5318300806329131
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,nll,1.946189378496305
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,brier,0.7521630429610189
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,ece15,0.2736560253829021
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,accuracy,0.5675161658425256
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,macro_f1,0.5376521925617729
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,macro_auroc,0.8448687704127836
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,macro_auprc,0.5939867738259211
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,nll,1.596361104622014
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,brier,0.6264845826755308
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,ece15,0.19236457333133083
chemical,gas_class,101,CAGF,scale:3,silent_gaussian,1,3.0,0.4,all,accuracy,0.5375802016498625
