pool,contrast,subset,metric,aligned_difference,ci_low,ci_high,reps
stacking_dirichlet,PDRF-CAGF,unaffected,accuracy,0.01808387841477499,0.0030781069642169534,0.033089649865332804,5000
stacking_dirichlet,PDRF-CAGF,unaffected,macro_f1,0.04662833899761776,0.03097250393709803,0.062431234181020534,5000
stacking_dirichlet,PDRF-CAGF,unaffected,macro_auprc,0.03314516445216564,0.01862384178290044,0.04714140500746825,5000
stacking_dirichlet,PDRF-CAGF,unaffected,macro_auroc,0.007815266052478953,0.0018403217374971805,0.014030136203333357,5000
stacking_dirichlet,PDRF-CAGF,unaffected,nll,0.06610347582738374,-0.008594359920025633,0.1411469832317827,5000
stacking_dirichlet,PDRF_AUC-CAGF,all,accuracy,0.01168652612282306,-0.0018331805682860192,0.025664527956003602,5000
stacking_dirichlet,PDRF_AUC-CAGF,all,macro_f1,0.04210428582267328,0.02850341783700952,0.05554112417162941,5000
stacking_dirichlet,PDRF_AUC-CAGF,all,macro_auprc,0.008751801024883155,-0.003644880208000051,0.02095212379619723,5000
stacking_dirichlet,PDRF_AUC-CAGF,all,macro_auroc,-0.0014503109211684295,-0.0070374633764947875,0.00395149945401547,5000
stacking_dirichlet,PDRF_AUC-CAGF,all,nll,0.03927083020241939,-0.02869130366089768,0.10649540735150807,5000
stacking_dirichlet,PDRF_AUC-CAGF,affected,accuracy,0.003966005665722361,-0.020396600566572276,0.027762039660056637,5000
stacking_dirichlet,PDRF_AUC-CAGF,affected,macro_f1,0.038369468400146656,0.01398265842248959,0.062334246469381835,5000
stacking_dirichlet,PDRF_AUC-CAGF,affected,macro_auprc,-0.01556470148286171,-0.03563185084037622,0.0034849423075120267,5000
stacking_dirichlet,PDRF_AUC-CAGF,affected,macro_auroc,-0.011450401397839816,-0.02125607478682026,-0.0016387002802186043,5000
stacking_dirichlet,PDRF_AUC-CAGF,affected,nll,0.0025984425599001604,-0.12397442108244808,0.1287325012322062,5000
stacking_dirichlet,PDRF_AUC-CAGF,unaffected,accuracy,0.016929588303193577,0.001154290111581413,0.0319353597537515,5000
stacking_dirichlet,PDRF_AUC-CAGF,unaffected,macro_f1,0.04334296761586487,0.028300748571278088,0.05897760881643579,5000
stacking_dirichlet,PDRF_AUC-CAGF,unaffected,macro_auprc,0.02478016770319591,0.009862886485400396,0.03848088383228413,5000
stacking_dirichlet,PDRF_AUC-CAGF,unaffected,macro_auroc,0.00588027637189259,-9.441257292666647e-06,0.012046010377316623,5000
stacking_dirichlet,PDRF_AUC-CAGF,unaffected,nll,0.06417531815511168,-0.009428945671658829,0.13955355163920372,5000
