seed,method,subset,metric,value
103,RO-CAGF KL=0,affected,ece15,0.31889714402787744
103,RO-CAGF KL=0,unaffected,accuracy,0.5202000769526741
103,RO-CAGF KL=0,unaffected,macro_f1,0.4981994446032374
103,RO-CAGF KL=0,unaffected,macro_auroc,0.8213847846301713
103,RO-CAGF KL=0,unaffected,macro_auprc,0.5520897368651929
103,RO-CAGF KL=0,unaffected,nll,1.7460291172020688
103,RO-CAGF KL=0,unaffected,brier,0.6849253529773768
103,RO-CAGF KL=0,unaffected,ece15,0.20978714894358588
103,RO-CAGF KL=.001,all,accuracy,0.4878551787351054
103,RO-CAGF KL=.001,all,macro_f1,0.4741859908363278
103,RO-CAGF KL=.001,all,macro_auroc,0.8090960968482276
103,RO-CAGF KL=.001,all,macro_auprc,0.5370450713766579
103,RO-CAGF KL=.001,all,nll,1.8954673815959702
103,RO-CAGF KL=.001,all,brier,0.7345049583035554
103,RO-CAGF KL=.001,all,ece15,0.2501017454632589
103,RO-CAGF KL=.001,affected,accuracy,0.44362606232294616
103,RO-CAGF KL=.001,affected,macro_f1,0.4322509948602879
103,RO-CAGF KL=.001,affected,macro_auroc,0.7854784834129006
103,RO-CAGF KL=.001,affected,macro_auprc,0.5036547009522109
103,RO-CAGF KL=.001,affected,nll,2.205959295060799
103,RO-CAGF KL=.001,affected,brier,0.8297789169352539
103,RO-CAGF KL=.001,affected,ece15,0.31270470810848316
103,RO-CAGF KL=.001,unaffected,accuracy,0.5178914967295114
103,RO-CAGF KL=.001,unaffected,macro_f1,0.4990258290649054
103,RO-CAGF KL=.001,unaffected,macro_auroc,0.8297418994803584
103,RO-CAGF KL=.001,unaffected,macro_auprc,0.5682315099194617
103,RO-CAGF KL=.001,unaffected,nll,1.6846100413630256
103,RO-CAGF KL=.001,unaffected,brier,0.6698037128303166
103,RO-CAGF KL=.001,unaffected,ece15,0.2078213188775735
103,RO-CAGF KL=.020,all,accuracy,0.5054995417048579
103,RO-CAGF KL=.020,all,macro_f1,0.49724383306422504
103,RO-CAGF KL=.020,all,macro_auroc,0.8214750500928535
103,RO-CAGF KL=.020,all,macro_auprc,0.55050202484831
103,RO-CAGF KL=.020,all,nll,1.797114815657883
103,RO-CAGF KL=.020,all,brier,0.7102867494802411
103,RO-CAGF KL=.020,all,ece15,0.2301292352712996
103,RO-CAGF KL=.020,affected,accuracy,0.4594900849858357
103,RO-CAGF KL=.020,affected,macro_f1,0.45663692618419854
103,RO-CAGF KL=.020,affected,macro_auroc,0.7958703414662845
103,RO-CAGF KL=.020,affected,macro_auprc,0.5073262208626054
103,RO-CAGF KL=.020,affected,nll,2.0954452870258247
103,RO-CAGF KL=.020,affected,brier,0.8063192270059404
103,RO-CAGF KL=.020,affected,ece15,0.2916574928139154
103,RO-CAGF KL=.020,unaffected,accuracy,0.5367449018853405
103,RO-CAGF KL=.020,unaffected,macro_f1,0.5213604240039135
103,RO-CAGF KL=.020,unaffected,macro_auroc,0.8422751541841272
103,RO-CAGF KL=.020,unaffected,macro_auprc,0.587439915672095
103,RO-CAGF KL=.020,unaffected,nll,1.594516400127134
103,RO-CAGF KL=.020,unaffected,brier,0.6450703882517457
103,RO-CAGF KL=.020,unaffected,ece15,0.1883449442870987
103,RO-PDRF interior=0,all,accuracy,0.534372135655362
103,RO-PDRF interior=0,all,macro_f1,0.5240117484989628
103,RO-PDRF interior=0,all,macro_auroc,0.8323167304539895
103,RO-PDRF interior=0,all,macro_auprc,0.5699711691773993
103,RO-PDRF interior=0,all,nll,2.4100665176145024
103,RO-PDRF interior=0,all,brier,0.7231877672014311
103,RO-PDRF interior=0,all,ece15,0.3074622270740794
103,RO-PDRF interior=0,affected,accuracy,0.47422096317280454
103,RO-PDRF interior=0,affected,macro_f1,0.4713180005123965
103,RO-PDRF interior=0,affected,macro_auroc,0.7910708067206521
103,RO-PDRF interior=0,affected,macro_auprc,0.5092720580967088
103,RO-PDRF interior=0,affected,nll,3.208684283928233
103,RO-PDRF interior=0,affected,brier,0.8591484650328928
103,RO-PDRF interior=0,affected,ece15,0.3843346550343057
103,RO-PDRF interior=0,unaffected,accuracy,0.5752212389380531
103,RO-PDRF interior=0,unaffected,macro_f1,0.5574635720917663
103,RO-PDRF interior=0,unaffected,macro_auroc,0.8634963567372828
103,RO-PDRF interior=0,unaffected,macro_auprc,0.6200912023394212
103,RO-PDRF interior=0,unaffected,nll,1.8677193234845548
103,RO-PDRF interior=0,unaffected,brier,0.630855858131585
103,RO-PDRF interior=0,unaffected,ece15,0.25593187707852927
103,RO-PDRF interior=.001,all,accuracy,0.5373510540788268
103,RO-PDRF interior=.001,all,macro_f1,0.5266326294888836
103,RO-PDRF interior=.001,all,macro_auroc,0.8322734540327702
103,RO-PDRF interior=.001,all,macro_auprc,0.5706699134794592
103,RO-PDRF interior=.001,all,nll,2.429440891925895
103,RO-PDRF interior=.001,all,brier,0.7244925735224665
103,RO-PDRF interior=.001,all,ece15,0.306380575145471
103,RO-PDRF interior=.001,affected,accuracy,0.4753541076487252
103,RO-PDRF interior=.001,affected,macro_f1,0.4717911599268873
103,RO-PDRF interior=.001,affected,macro_auroc,0.7905128269092635
103,RO-PDRF interior=.001,affected,macro_auprc,0.50862827191182
103,RO-PDRF interior=.001,affected,nll,3.2382335831625575
103,RO-PDRF interior=.001,affected,brier,0.8626143017536331
103,RO-PDRF interior=.001,affected,ece15,0.38534451935851877
103,RO-PDRF interior=.001,unaffected,accuracy,0.5794536360138515
103,RO-PDRF interior=.001,unaffected,macro_f1,0.56177923033879
103,RO-PDRF interior=.001,unaffected,macro_auroc,0.863789583943019
103,RO-PDRF interior=.001,unaffected,macro_auprc,0.6218499072405265
103,RO-PDRF interior=.001,unaffected,nll,1.8801838315054598
103,RO-PDRF interior=.001,unaffected,brier,0.630693092826811
103,RO-PDRF interior=.001,unaffected,ece15,0.25331644014974614
103,RO-PDRF interior=.020,all,accuracy,0.5396425297891843
103,RO-PDRF interior=.020,all,macro_f1,0.5289671884115319
103,RO-PDRF interior=.020,all,macro_auroc,0.83298030896799
103,RO-PDRF interior=.020,all,macro_auprc,0.5717421843781973
103,RO-PDRF interior=.020,all,nll,2.417809583842145
103,RO-PDRF interior=.020,all,brier,0.7214633584455518
103,RO-PDRF interior=.020,all,ece15,0.30321735359462
103,RO-PDRF interior=.020,affected,accuracy,0.4764872521246459
103,RO-PDRF interior=.020,affected,macro_f1,0.47331803197999983
103,RO-PDRF interior=.020,affected,macro_auroc,0.7911032321637624
103,RO-PDRF interior=.020,affected,macro_auprc,0.5095380294490764
103,RO-PDRF interior=.020,affected,nll,3.228121921980877
103,RO-PDRF interior=.020,affected,brier,0.8594410846394072
103,RO-PDRF interior=.020,affected,ece15,0.38357501973849184
103,RO-PDRF interior=.020,unaffected,accuracy,0.5825317429780685
103,RO-PDRF interior=.020,unaffected,macro_f1,0.5646234183166557
103,RO-PDRF interior=.020,unaffected,macro_auroc,0.864546290922965
103,RO-PDRF interior=.020,unaffected,macro_auprc,0.6229311064409241
103,RO-PDRF interior=.020,unaffected,nll,1.8675205200426594
103,RO-PDRF interior=.020,unaffected,brier,0.6277616705917023
103,RO-PDRF interior=.020,unaffected,ece15,0.24887124103002706
104,RO-CAGF KL=0,all,accuracy,0.45119156736938587
104,RO-CAGF KL=0,all,macro_f1,0.43734016968354017
104,RO-CAGF KL=0,all,macro_auroc,0.7583880769883606
104,RO-CAGF KL=0,all,macro_auprc,0.45086258092056336
104,RO-CAGF KL=0,all,nll,1.642568315392312
104,RO-CAGF KL=0,all,brier,0.7391535883493583
104,RO-CAGF KL=0,all,ece15,0.15495338622142588
104,RO-CAGF KL=0,affected,accuracy,0.41246458923512747
104,RO-CAGF KL=0,affected,macro_f1,0.3889102953965676
104,RO-CAGF KL=0,affected,macro_auroc,0.7196150650968233
104,RO-CAGF KL=0,affected,macro_auprc,0.3975366946584547
104,RO-CAGF KL=0,affected,nll,1.8573275610897577
104,RO-CAGF KL=0,affected,brier,0.8011765747778287
104,RO-CAGF KL=0,affected,ece15,0.18702950344207264
104,RO-CAGF KL=0,unaffected,accuracy,0.4774913428241631
104,RO-CAGF KL=0,unaffected,macro_f1,0.4688471805759755
104,RO-CAGF KL=0,unaffected,macro_auroc,0.7859801427994185
104,RO-CAGF KL=0,unaffected,macro_auprc,0.4957723778168326
104,RO-CAGF KL=0,unaffected,nll,1.4967237333776942
104,RO-CAGF KL=0,unaffected,brier,0.6970333224600737
104,RO-CAGF KL=0,unaffected,ece15,0.13476642397515082
104,RO-CAGF KL=.001,all,accuracy,0.461961503208066
104,RO-CAGF KL=.001,all,macro_f1,0.44721779554464186
104,RO-CAGF KL=.001,all,macro_auroc,0.7653598401884861
104,RO-CAGF KL=.001,all,macro_auprc,0.4756689695077136
104,RO-CAGF KL=.001,all,nll,1.648937918941497
104,RO-CAGF KL=.001,all,brier,0.7302041638955763
104,RO-CAGF KL=.001,all,ece15,0.16490025976783743
104,RO-CAGF KL=.001,affected,accuracy,0.42776203966005666
104,RO-CAGF KL=.001,affected,macro_f1,0.4030679831777437
104,RO-CAGF KL=.001,affected,macro_auroc,0.7269805451602319
104,RO-CAGF KL=.001,affected,macro_auprc,0.4221544053571194
104,RO-CAGF KL=.001,affected,nll,1.8762421700938086
104,RO-CAGF KL=.001,affected,brier,0.7924763930617845
104,RO-CAGF KL=.001,affected,ece15,0.18982546144605697
104,RO-CAGF KL=.001,unaffected,accuracy,0.48518661023470566
104,RO-CAGF KL=.001,unaffected,macro_f1,0.4760537134889347
104,RO-CAGF KL=.001,unaffected,macro_auroc,0.7923433541362535
104,RO-CAGF KL=.001,unaffected,macro_auprc,0.5191154800978474
104,RO-CAGF KL=.001,unaffected,nll,1.494573931529481
104,RO-CAGF KL=.001,unaffected,brier,0.6879146354314141
104,RO-CAGF KL=.001,unaffected,ece15,0.14797337018971077
104,RO-CAGF KL=.020,all,accuracy,0.5057286892758937
104,RO-CAGF KL=.020,all,macro_f1,0.49044801000459487
104,RO-CAGF KL=.020,all,macro_auroc,0.8039768124910952
104,RO-CAGF KL=.020,all,macro_auprc,0.5225227012740207
104,RO-CAGF KL=.020,all,nll,2.311824656715804
104,RO-CAGF KL=.020,all,brier,0.7743796907722398
104,RO-CAGF KL=.020,all,ece15,0.305662393187515
104,RO-CAGF KL=.020,affected,accuracy,0.4753541076487252
104,RO-CAGF KL=.020,affected,macro_f1,0.45622494496570226
104,RO-CAGF KL=.020,affected,macro_auroc,0.7873445768057598
104,RO-CAGF KL=.020,affected,macro_auprc,0.49888109116419593
104,RO-CAGF KL=.020,affected,nll,2.616130715090711
104,RO-CAGF KL=.020,affected,brier,0.8403347662715047
104,RO-CAGF KL=.020,affected,ece15,0.3453109252132032
104,RO-CAGF KL=.020,unaffected,accuracy,0.5263562908811081
104,RO-CAGF KL=.020,unaffected,macro_f1,0.5120492969804321
104,RO-CAGF KL=.020,unaffected,macro_auroc,0.8167888085915896
