representation,task,fault,subset,metric,CAGF,PDRF_NOQ,PDRF_RCIA_R30_NOQ,final_minus_cagf
linear_resampling,valve,vibration,affected,macro_auroc,0.8091761216271021,0.982703081232493,0.9712345679012346,0.16205844627413257
linear_resampling,valve,vibration,affected,macro_f1,0.6297814045415873,0.8881896726054423,0.856369739125863,0.22658833458427574
linear_resampling,valve,vibration,affected,nll,2.7583643211994575,0.36050095849991826,0.40291200318316084,-2.3554523180162965
linear_resampling,valve,vibration,all,accuracy,0.6339449541284404,0.8807339449541285,0.8486238532110091,0.21467889908256865
linear_resampling,valve,vibration,all,macro_auprc,0.6406922536006568,0.9520025051160677,0.9275911129886328,0.286898859387976
linear_resampling,valve,vibration,all,macro_auroc,0.7978128898352476,0.9761135845485439,0.965755393169011,0.16794250333376348
linear_resampling,valve,vibration,all,macro_f1,0.630982698846613,0.8802327367896918,0.8480202502439326,0.21703755139731962
linear_resampling,valve,vibration,all,nll,2.8571049614468302,0.5394669176445199,0.5871244217515852,-2.2699805396952453
linear_resampling,valve,vibration,unaffected,accuracy,0.6394160583941606,0.8788321167883211,0.8510948905109489,0.21167883211678828
linear_resampling,valve,vibration,unaffected,macro_auprc,0.6247516845474317,0.9371092801465386,0.913783506526174,0.28903182197874233
linear_resampling,valve,vibration,unaffected,macro_auroc,0.7880897915383307,0.9698019483616915,0.9590437588787026,0.17095396734037194
linear_resampling,valve,vibration,unaffected,macro_f1,0.6245655485907282,0.8680714786433562,0.8359995648044649,0.2114340162137367
linear_resampling,valve,vibration,unaffected,nll,2.9154844640748383,0.6452789080876786,0.6960383334599236,-2.219446130614915
zero_padding,accumulator,pressure,affected,accuracy,0.2632911392405063,0.42531645569620247,0.4506329113924051,0.1873417721518988
zero_padding,accumulator,pressure,affected,macro_auprc,0.3441518434123347,0.466169451017616,0.49887271371954317,0.1547208703072085
zero_padding,accumulator,pressure,affected,macro_auroc,0.5746407983556734,0.6874151214901661,0.7095242560368564,0.13488345768118304
zero_padding,accumulator,pressure,affected,macro_f1,0.25572348236555886,0.42893480081686997,0.45628855944476615,0.2005650770792073
zero_padding,accumulator,pressure,affected,nll,5.303212102897734,5.334791655271653,4.43336018396805,-0.869851918929684
zero_padding,accumulator,pressure,all,accuracy,0.5779816513761469,0.7165137614678899,0.7174311926605504,0.13944954128440357
zero_padding,accumulator,pressure,all,macro_auprc,0.570099399717894,0.685610838249836,0.7099168096181886,0.13981740990029456
zero_padding,accumulator,pressure,all,macro_auroc,0.7754852104572633,0.8498459478642406,0.8666686830558781,0.09118347259861481
zero_padding,accumulator,pressure,all,macro_f1,0.5775143569130092,0.7155161575267838,0.7170799620439505,0.1395656051309413
zero_padding,accumulator,pressure,all,nll,2.7081949753764993,2.1556171583374937,1.8440334041083755,-0.8641615712681239
zero_padding,accumulator,pressure,unaffected,accuracy,0.7568345323741007,0.8820143884892087,0.8690647482014388,0.11223021582733805
zero_padding,accumulator,pressure,unaffected,macro_auprc,0.7805675775905101,0.9473809729122464,0.9411214398763385,0.16055386228582835
zero_padding,accumulator,pressure,unaffected,macro_auroc,0.8974229746854425,0.9797899782406365,0.9775061304802494,0.08008315579480685
zero_padding,accumulator,pressure,unaffected,macro_f1,0.752508656252542,0.8811444751556383,0.8680152729100159,0.11550661665747386
zero_padding,accumulator,pressure,unaffected,nll,1.2333291259219847,0.3487481996482953,0.37240163713776964,-0.8609274887842151
zero_padding,accumulator,vibration,affected,accuracy,0.7308641975308643,0.837037037037037,0.837037037037037,0.10617283950617273
zero_padding,accumulator,vibration,affected,macro_auprc,0.7627496919430214,0.9333598953654633,0.943475581149032,0.18072588920601051
zero_padding,accumulator,vibration,affected,macro_auroc,0.889831433528905,0.9679638833295405,0.9735127271551036,0.08368129362619858
zero_padding,accumulator,vibration,affected,macro_f1,0.7277623599066387,0.8353633050636734,0.8380033804782918,0.11024102057165308
zero_padding,accumulator,vibration,affected,nll,1.2871691764200368,0.5586961943464999,0.48691746956284376,-0.800251706857193
zero_padding,accumulator,vibration,all,accuracy,0.7394495412844037,0.8422018348623853,0.8376146788990827,0.09816513761467904
zero_padding,accumulator,vibration,all,macro_auprc,0.7810593926818946,0.9240577803134077,0.9237615239205402,0.1427021312386456
zero_padding,accumulator,vibration,all,macro_auroc,0.8986730814728782,0.9700637447842733,0.9706035993891685,0.07193051791629035
zero_padding,accumulator,vibration,all,macro_f1,0.7370847520363238,0.8429204335135907,0.8381531925279747,0.10106844049165087
zero_padding,accumulator,vibration,all,nll,1.210687502190606,0.4844344488099791,0.46393690294277024,-0.7467505992478358
zero_padding,accumulator,vibration,unaffected,accuracy,0.7445255474452555,0.8452554744525548,0.837956204379562,0.09343065693430652
zero_padding,accumulator,vibration,unaffected,macro_auprc,0.7908294084822105,0.9083167145605273,0.9085538086294319,0.11772440014722141
zero_padding,accumulator,vibration,unaffected,macro_auroc,0.9034386520004704,0.9709433569014514,0.9697182889962278,0.06627963699575745
zero_padding,accumulator,vibration,unaffected,macro_f1,0.7347665127148779,0.8382590312112196,0.8300818334434457,0.09531532072856774
zero_padding,accumulator,vibration,unaffected,nll,1.16546841012795,0.44052786933218213,0.45034985260535454,-0.7151185575225955
zero_padding,cooler,pressure,affected,accuracy,0.8632911392405063,1.0,0.9974683544303797,0.13417721518987347
zero_padding,cooler,pressure,affected,macro_auprc,0.8391495909427134,1.0,1.0,0.16085040905728665
zero_padding,cooler,pressure,affected,macro_auroc,0.9192949406822881,1.0,1.0,0.08070505931771188
zero_padding,cooler,pressure,affected,macro_f1,0.86385956487996,1.0,0.997469865139038,0.13361030025907805
zero_padding,cooler,pressure,affected,nll,1.8897507968640572,3.902563378553676e-05,0.014762630262493562,-1.8749881666015638
zero_padding,cooler,pressure,all,accuracy,0.9293577981651376,1.0,0.9990825688073395,0.06972477064220184
zero_padding,cooler,pressure,all,macro_auprc,0.9183262247434758,1.0,1.0,0.0816737752565242
zero_padding,cooler,pressure,all,macro_auroc,0.962314326312614,1.0,1.0,0.03768567368738596
zero_padding,cooler,pressure,all,macro_f1,0.9292488801310386,1.0,0.9990867151458286,0.06983783501479002
zero_padding,cooler,pressure,all,nll,0.9176645881221337,1.4218326427948077e-05,0.005349836517565259,-0.9123147516045684
zero_padding,cooler,pressure,unaffected,accuracy,0.9669064748201439,1.0,1.0,0.03309352517985609
zero_padding,cooler,pressure,unaffected,macro_auprc,0.9670449578215147,1.0,1.0,0.03295504217848533
zero_padding,cooler,pressure,unaffected,macro_auroc,0.9839944304243726,1.0,1.0,0.016005569575627376
zero_padding,cooler,pressure,unaffected,macro_f1,0.9667776563420636,1.0,1.0,0.033222343657936415
zero_padding,cooler,pressure,unaffected,nll,0.36518393711053676,1.1920929665620914e-07,1.1920929665620914e-07,-0.3651838179012401
